nombre,precio,cuotas,imagen,categoria,descripcion,caracteristicas,modo_uso,calificacion,num_calificaciones
Labial gloss jirafa Gegebear,2200,1,productos/labial-gloss-jirafa-gegebear.jpg,maquillaje,Labial gloss jirafa Gegebear - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Cajita paleta de contorno 4 tonos en 1 Art value #A09,2900,1,productos/cajita-paleta-de-contorno-4-to.jpg,maquillaje,Cajita paleta de contorno 4 tonos en 1 Art value #A09 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Cajita de sombras 4 colores en 1 gatito Art value #A24,2900,1,productos/cajita-de-sombras-4-colores-en.jpg,maquillaje,Cajita de sombras 4 colores en 1 gatito Art value #A24 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Labial en barra matte Art value #A76,2000,1,productos/labial-en-barra-matte-art-valu.jpg,maquillaje,Labial en barra matte Art value #A76 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Polvo compacto piano Art value waterproof #A02,2600,1,productos/polvo-compacto-piano-art-value.jpg,maquillaje,Polvo compacto piano Art value waterproof #A02 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Polvo compacto leoncito Art value #A13,2600,1,productos/polvo-compacto-leoncito-art-va.jpg,maquillaje,Polvo compacto leoncito Art value #A13 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Rubor huevito Art value #A2412,2100,1,productos/rubor-huevito-art-value-a2412.jpg,maquillaje,Rubor huevito Art value #A2412 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Cajita de sombra 4 colores en 1 Art value #A08,2900,1,productos/cajita-de-sombra-4-colores-en-.jpg,maquillaje,Cajita de sombra 4 colores en 1 Art value #A08 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Rubor con espejito floral Art value #A59,2100,1,productos/rubor-con-espejito-floral-art-.jpg,maquillaje,Rubor con espejito floral Art value #A59 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Polvo compacto osito Art value #A44,2900,1,productos/polvo-compacto-osito-art-value.jpg,maquillaje,Polvo compacto osito Art value #A44 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Labial matte panda llavero Art value #A54,2000,1,productos/labial-matte-panda-llavero-art.jpg,maquillaje,Labial matte panda llavero Art value #A54 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Paleta de sombras 4 tonos Art value #A16,3000,1,productos/paleta-de-sombras-4-tonos-art-.jpg,maquillaje,Paleta de sombras 4 tonos Art value #A16 - Maquillaje de la marca VALUE,"Producto de Maquillaje
Marca: VALUE",-,5,0
Labial gloss en barra 4en1 desmontable Cappuvini #CP154,1500,1,productos/labial-gloss-en-barra-4en1-des.jpg,maquillaje,Labial gloss en barra 4en1 desmontable Cappuvini #CP154 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Lapiz labial nude Cappuvini varios tonos #CP140,1400,1,productos/lapiz-labial-nude-cappuvini-va.jpg,maquillaje,Lapiz labial nude Cappuvini varios tonos #CP140 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Labial gloss solido mini Cappuvini #CP251,1100,1,productos/labial-gloss-solido-mini-cappu.jpg,maquillaje,Labial gloss solido mini Cappuvini #CP251 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
